time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-01T02:19:38.700Z,32.9636667,-115.55,4.54,1.91,ml,26,92,0.06268,0.24,ci,ci37776232,2017-01-01T02:30:33.350Z,"2km SW of Brawley, CA",earthquake,0.34,1,0.184,26,automatic,ci,ci
2017-01-01T02:21:19.240Z,32.9596667,-115.5535,5.05,1.52,ml,12,74,0.05835,0.21,ci,ci37776240,2017-01-03T20:45:31.180Z,"3km SW of Brawley, CA",earthquake,0.42,1.01,0.164,8,reviewed,ci,ci
2017-01-01T02:21:37.112Z,65.0342,-147.9623,16.3,0.7,ml,,,,0.33,ak,ak14868411,2017-01-01T02:31:21.391Z,"20km N of Ester, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-01-01T02:23:28.010Z,32.9575,-115.5498333,4.04,1.48,ml,16,92,0.05662,0.24,ci,ci37776248,2017-01-01T02:27:12.302Z,"3km SW of Brawley, CA",earthquake,0.49,1.37,0.176,26,automatic,ci,ci
2017-01-01T02:24:51.120Z,32.971,-115.5506667,5.16,1.48,ml,19,93,0.06985,0.23,ci,ci37776256,2017-01-02T04:46:16.243Z,"2km WSW of Brawley, CA",earthquake,0.49,1.05,0.161,28,reviewed,ci,ci
2017-01-01T02:29:41.630Z,35.2647,-97.7996,5,2.5,mb_lg,,67,0.326,0.56,us,us10007p0u,2017-01-02T02:32:03.175Z,"3km SSE of Tuttle, Oklahoma",earthquake,1.1,2,0.117,19,reviewed,us,us
2017-01-01T02:33:40.910Z,32.9723333,-115.5488333,5.06,2.06,ml,30,86,0.07137,0.28,ci,ci37776264,2017-01-01T02:44:51.770Z,"2km WSW of Brawley, CA",earthquake,0.38,0.98,0.215,26,automatic,ci,ci
2017-01-01T02:34:37.000Z,32.9658333,-115.5521667,8.01,1.92,ml,36,74,0.06459,0.3,ci,ci37776272,2017-01-03T19:35:19.984Z,"2km SW of Brawley, CA",earthquake,0.31,0.63,0.178,40,reviewed,ci,ci
2017-01-01T02:35:09.950Z,32.972,-115.547,4.65,1.9,ml,16,86,0.07127,0.26,ci,ci37776280,2017-01-01T02:39:03.845Z,"2km WSW of Brawley, CA",earthquake,0.52,1.46,0.193,31,automatic,ci,ci
2017-01-01T02:36:16.510Z,33.5861667,-116.722,12.25,0.96,ml,26,58,0.02433,0.14,ci,ci37776288,2017-01-02T04:38:54.342Z,"6km NW of Anza, CA",earthquake,0.25,0.44,0.215,15,reviewed,ci,ci
2017-01-01T02:36:18.780Z,32.973,-115.552,6.25,2.3,ml,36,74,0.06977,0.24,ci,ci37776296,2017-01-03T21:49:22.420Z,"2km WSW of Brawley, CA",earthquake,0.24,0.81,0.173,54,reviewed,ci,ci
2017-01-01T02:40:13.090Z,38.3608,-118.931,0,1.4,ml,12,128.43,0.317,,nn,nn00571819,2017-01-01T02:42:11.721Z,"28km ENE of Bridgeport, California",earthquake,,,,,automatic,nn,nn
2017-01-01T02:42:35.290Z,32.9576667,-115.5746667,1.14,1.21,ml,10,106,0.05726,0.2,ci,ci37776304,2017-01-01T02:46:18.774Z,"5km WSW of Brawley, CA",earthquake,0.73,31.61,0.134,19,automatic,ci,ci
2017-01-01T02:43:22.970Z,32.9623333,-115.5706667,1.72,1.18,ml,13,105,0.06127,0.21,ci,ci37776312,2017-01-01T02:46:53.536Z,"4km WSW of Brawley, CA",earthquake,0.42,0.65,0.138,16,automatic,ci,ci
2017-01-01T02:44:22.230Z,32.966,-115.56,2.04,1.12,ml,14,91,0.06435,0.25,ci,ci37776320,2017-01-01T02:47:58.586Z,"3km WSW of Brawley, CA",earthquake,0.46,0.73,0.108,13,automatic,ci,ci
2017-01-01T02:45:37.510Z,-12.9288,-76.5808,40.3,4.1,mb,,162,0.969,1.22,us,us10007p17,2017-01-01T05:56:08.456Z,"21km W of Quilmana, Peru",earthquake,3.8,5.2,0.302,3,reviewed,us,us
2017-01-01T02:46:15.112Z,38.3497,-118.9067,8.3,1,ml,8,94.44,0.303,0.2563,nn,nn00571821,2017-01-01T22:14:29.954Z,"30km ENE of Bridgeport, California",earthquake,,10.5,0.22,2,reviewed,nn,nn
2017-01-01T02:49:33.390Z,32.9748333,-115.5445,5.56,2.35,ml,31,87,0.07063,0.26,ci,ci37776328,2017-01-01T03:00:31.660Z,"1km WSW of Brawley, CA",earthquake,0.39,1.1,0.245,25,automatic,ci,ci
2017-01-01T02:50:06.790Z,32.9776667,-115.5455,11.34,3.13,ml,46,76,0.06773,0.24,ci,ci37776336,2017-01-03T16:51:01.470Z,"1km W of Brawley, CA",earthquake,0.22,0.47,0.175,214,reviewed,ci,ci
2017-01-01T02:51:16.330Z,32.964,-115.5471667,3.18,2.33,ml,38,41,0.06339,0.25,ci,ci37776344,2017-01-03T21:48:45.985Z,"2km SW of Brawley, CA",earthquake,0.27,0.36,0.155,27,reviewed,ci,ci
2017-01-01T02:51:59.100Z,32.9678333,-115.5476667,2.9,1.86,ml,13,100,0.06708,0.2,ci,ci37776352,2017-01-03T20:45:29.520Z,"2km SW of Brawley, CA",earthquake,0.5,0.38,0.323,8,reviewed,ci,ci
2017-01-01T02:59:02.970Z,37.5861667,-118.476,8.65,1.43,md,27,159,0.04605,0.05,nc,nc72746795,2017-01-04T00:12:02.429Z,"22km NNW of Dixon Lane-Meadow Creek, California",earthquake,0.35,0.77,0.163,24,reviewed,nc,nc
2017-01-01T03:02:10.710Z,32.9771667,-115.5421667,10.68,2.5,ml,46,76,0.06948,0.26,ci,ci37776368,2017-01-03T19:49:24.100Z,"1km W of Brawley, CA",earthquake,0.29,0.51,0.239,24,reviewed,ci,ci
2017-01-01T03:08:03.740Z,32.9693333,-115.535,3.44,1.34,ml,9,95,0.07105,0.27,ci,ci37776384,2017-01-01T03:11:45.760Z,"1km SSW of Brawley, CA",earthquake,0.87,1.19,0.122,17,automatic,ci,ci
2017-01-01T03:12:39.040Z,32.975,-115.5418333,5.69,1.51,ml,26,76,0.07151,0.25,ci,ci37776392,2017-01-03T18:56:59.343Z,"1km WSW of Brawley, CA",earthquake,0.33,0.66,0.126,31,reviewed,ci,ci
2017-01-01T03:16:35.180Z,32.9766667,-115.5363333,3.29,1.39,ml,14,88,0.07238,0.27,ci,ci37776400,2017-01-01T03:20:13.700Z,"1km WSW of Brawley, CA",earthquake,0.66,0.96,0.186,25,automatic,ci,ci
2017-01-01T03:19:23.130Z,32.9791667,-115.5368333,5.16,1.4,ml,12,96,0.07005,0.22,ci,ci37776408,2017-01-01T03:22:58.691Z,"1km W of Brawley, CA",earthquake,0.46,0.98,0.196,3,automatic,ci,ci
2017-01-01T03:19:28.650Z,32.9688333,-115.5453333,5.62,2,ml,24,87,0.06841,0.26,ci,ci37776416,2017-01-01T03:30:27.760Z,"2km SW of Brawley, CA",earthquake,0.39,0.9,0.209,25,automatic,ci,ci
2017-01-01T03:20:37.380Z,39.8336667,-122.9283333,-0.01,1.41,md,10,75,0.2034,0.11,nc,nc72746805,2017-01-03T20:37:02.861Z,"27km E of Covelo, California",earthquake,0.46,10.5,0.094,9,reviewed,nc,nc
2017-01-01T03:20:56.320Z,32.982,-115.5405,4.98,1.26,ml,11,96,0.06602,0.18,ci,ci37776424,2017-01-02T04:38:35.566Z,"1km WNW of Brawley, CA",earthquake,0.47,1.14,0.096,9,reviewed,ci,ci
2017-01-01T03:22:47.830Z,32.9713333,-115.533,3.16,1.39,ml,16,96,0.07346,0.28,ci,ci37776432,2017-01-01T03:26:29.039Z,"1km SSW of Brawley, CA",earthquake,0.56,0.76,0.191,20,automatic,ci,ci
